Time,valveStuck.m_flow,valveStuck.m_flow_real,valveStuck.cmd,valveStuck.bias,valveStuck.lambda,valveStuck.dp,valveStuck.T_in,valveStuck.valve.opening
0,0.05,0,1,0.05,0.01,0,288.15,1
0.5,0.15108,0.106232,1,0.05,0.01,506.625,288.3,1
1,0.193174,0.150235,1,0.05,0.01,1013.25,288.45,1
1.5,0.225628,0.184,1,0.05,0.01,1519.88,288.6,1
2,0.253116,0.212464,1,0.05,0.01,2026.5,288.75,1
2.5,0.277447,0.237542,1,0.05,0.01,2533.12,288.9,1
3,0.299546,0.260215,1,0.05,0.01,3039.75,289.05,1
3.5,0.319962,0.281064,1,0.05,0.01,3546.38,289.2,1
4,0.339052,0.30047,1,0.05,0.01,4053,289.35,1
4.5,0.357064,0.318697,1,0.05,0.01,4559.62,289.5,1
5,0.374178,0.335936,1,0.05,0.01,5066.25,289.65,1
5.5,0.390529,0.352332,1,0.05,0.01,5572.88,289.8,1
6,0.406223,0.367999,1,0.05,0.01,6079.5,289.95,1
6.5,0.421343,0.383026,1,0.05,0.01,6586.12,290.1,1
7,0.435957,0.397485,1,0.05,0.01,7092.75,290.25,1
7.5,0.450121,0.411436,1,0.05,0.01,7599.38,290.4,1
8,0.463881,0.424929,1,0.05,0.01,8106,290.55,1
8.5,0.477275,0.438007,1,0.05,0.01,8612.62,290.7,1
9,0.490339,0.450705,1,0.05,0.01,9119.25,290.85,1
9.5,0.5031,0.463055,1,0.05,0.01,9625.88,291,1
10,0.515583,0.475085,1,0.05,0.01,10132.5,291.15,1
10.5,0.527811,0.486817,1,0.05,0.01,10639.1,291.3,1
11,0.539803,0.498273,1,0.05,0.01,11145.8,291.45,1
11.5,0.551575,0.509472,1,0.05,0.01,11652.4,291.6,1
12,0.563143,0.520429,1,0.05,0.01,12159,291.75,1
12.5,0.574522,0.531161,1,0.05,0.01,12665.6,291.9,1
13,0.585722,0.54168,1,0.05,0.01,13172.2,292.05,1
13.5,0.596755,0.551999,1,0.05,0.01,13678.9,292.2,1
14,0.607631,0.562128,1,0.05,0.01,14185.5,292.35,1
14.5,0.618359,0.572078,1,0.05,0.01,14692.1,292.5,1
15,0.628949,0.581858,1,0.05,0.01,15198.8,292.65,1
15.5,0.639406,0.591476,1,0.05,0.01,15705.4,292.8,1
16,0.649738,0.60094,1,0.05,0.01,16212,292.95,1
16.5,0.659952,0.610258,1,0.05,0.01,16718.6,293.1,1
17,0.670054,0.619435,1,0.05,0.01,17225.2,293.25,1
17.5,0.680049,0.628478,1,0.05,0.01,17731.9,293.4,1
18,0.689943,0.637393,1,0.05,0.01,18238.5,293.55,1
18.5,0.699739,0.646185,1,0.05,0.01,18745.1,293.7,1
19,0.709443,0.654859,1,0.05,0.01,19251.8,293.85,1
19.5,0.719059,0.66342,1,0.05,0.01,19758.4,294,1
20,0.72859,0.671871,1,0.05,0.01,20265,294.15,1
20.5,0.738041,0.680218,1,0.05,0.01,20771.6,294.3,1
21,0.747413,0.688463,1,0.05,0.01,21278.2,294.45,1
21.5,0.756712,0.696611,1,0.05,0.01,21784.9,294.6,1
22,0.765939,0.704665,1,0.05,0.01,22291.5,294.75,1
22.5,0.775098,0.712627,1,0.05,0.01,22798.1,294.9,1
23,0.784191,0.720502,1,0.05,0.01,23304.8,295.05,1
23.5,0.793221,0.728291,1,0.05,0.01,23811.4,295.2,1
24,0.80219,0.735998,1,0.05,0.01,24318,295.35,1
24.5,0.811101,0.743625,1,0.05,0.01,24824.6,295.5,1
25,0.819955,0.751175,1,0.05,0.01,25331.2,295.65,1
25.5,0.828754,0.75865,1,0.05,0.01,25837.9,295.8,1
26,0.837501,0.766051,1,0.05,0.01,26344.5,295.95,1
26.5,0.846197,0.773382,1,0.05,0.01,26851.1,296.1,1
27,0.854844,0.780644,1,0.05,0.01,27357.8,296.25,1
27.5,0.863444,0.787839,1,0.05,0.01,27864.4,296.4,1
28,0.871998,0.794969,1,0.05,0.01,28371,296.55,1
28.5,0.880508,0.802036,1,0.05,0.01,28877.6,296.7,1
29,0.888975,0.80904,1,0.05,0.01,29384.2,296.85,1
29.5,0.897401,0.815985,1,0.05,0.01,29890.9,297,1
29.9,0.905786,0.822871,1,0.05,0.01,30397.5,297.15,1
30.5,0.914133,0.8297,1,0.05,0.01,30904.1,297.3,1
31,0.922442,0.836473,1,0.05,0.01,31410.8,297.45,1
31.5,0.930714,0.843192,1,0.05,0.01,31917.4,297.6,1
32,0.938951,0.849858,1,0.05,0.01,32424,297.75,1
32.5,0.947154,0.856471,1,0.05,0.01,32930.6,297.9,1
33,0.955323,0.863035,1,0.05,0.01,33437.2,298.05,1
33.5,0.96346,0.869548,1,0.05,0.01,33943.9,298.2,1
34,0.971566,0.876013,1,0.05,0.01,34450.5,298.35,1
34.5,0.979641,0.882431,1,0.05,0.01,34957.1,298.5,1
35,0.987687,0.888802,1,0.05,0.01,35463.8,298.65,1
35.5,0.995703,0.895129,1,0.05,0.01,35970.4,298.8,1
36,1.00369,0.90141,1,0.05,0.01,36477,298.95,1
36.5,1.01165,0.907648,1,0.05,0.01,36983.6,299.1,1
37,1.01959,0.913844,1,0.05,0.01,37490.2,299.25,1
37.5,1.0275,0.919998,1,0.05,0.01,37996.9,299.4,1
38,1.03538,0.926111,1,0.05,0.01,38503.5,299.55,1
38.5,1.04324,0.932184,1,0.05,0.01,39010.1,299.7,1
39,1.05108,0.938218,1,0.05,0.01,39516.8,299.85,1
39.5,1.05889,0.944213,1,0.05,0.01,40023.4,300,1
40,1.06668,0.95017,1,0.05,0.01,40530,300.15,1
40.5,1.07445,0.95609,1,0.05,0.01,41036.6,300.3,1
41,1.0822,0.961974,1,0.05,0.01,41543.2,300.45,1
41.5,1.08992,0.967822,1,0.05,0.01,42049.9,300.6,1
42,1.09763,0.973634,1,0.05,0.01,42556.5,300.75,1
42.5,1.10532,0.979413,1,0.05,0.01,43063.1,300.9,1
43,1.11298,0.985157,1,0.05,0.01,43569.8,301.05,1
43.5,1.12063,0.990868,1,0.05,0.01,44076.4,301.2,1
44,1.12826,0.996547,1,0.05,0.01,44583,301.35,1
44.5,1.13588,1.00219,1,0.05,0.01,45089.6,301.5,1
45,1.14347,1.00781,1,0.05,0.01,45596.2,301.65,1
45.5,1.15105,1.01339,1,0.05,0.01,46102.9,301.8,1
46,1.15861,1.01894,1,0.05,0.01,46609.5,301.95,1
46.5,1.16616,1.02447,1,0.05,0.01,47116.1,302.1,1
47,1.17369,1.02996,1,0.05,0.01,47622.8,302.25,1
47.5,1.1812,1.03542,1,0.05,0.01,48129.4,302.4,1
48,1.1887,1.04086,1,0.05,0.01,48636,302.55,1
48.5,1.19618,1.04627,1,0.05,0.01,49142.6,302.7,1
49,1.20365,1.05165,1,0.05,0.01,49649.2,302.85,1
49.5,1.21111,1.057,1,0.05,0.01,50155.9,303,1
50,1.21855,1.06232,1,0.05,0.01,50662.5,303.15,1
50.5,1.22015,1.06232,1,0.05,0.01,50662.5,303.3,1
51,1.22174,1.06232,1,0.05,0.01,50662.5,303.45,1
51.5,1.22333,1.06232,1,0.05,0.01,50662.5,303.6,1
52,1.22493,1.06232,1,0.05,0.01,50662.5,303.75,1
52.5,1.22652,1.06232,1,0.05,0.01,50662.5,303.9,1
53,1.22812,1.06232,1,0.05,0.01,50662.5,304.05,1
53.5,1.22971,1.06232,1,0.05,0.01,50662.5,304.2,1
54,1.2313,1.06232,1,0.05,0.01,50662.5,304.35,1
54.5,1.2329,1.06232,1,0.05,0.01,50662.5,304.5,1
55,1.23449,1.06232,1,0.05,0.01,50662.5,304.65,1
55.5,1.23608,1.06232,1,0.05,0.01,50662.5,304.8,1
56,1.23768,1.06232,1,0.05,0.01,50662.5,304.95,1
56.5,1.23927,1.06232,1,0.05,0.01,50662.5,305.1,1
57,1.24086,1.06232,1,0.05,0.01,50662.5,305.25,1
57.5,1.24246,1.06232,1,0.05,0.01,50662.5,305.4,1
58,1.24405,1.06232,1,0.05,0.01,50662.5,305.55,1
58.5,1.24564,1.06232,1,0.05,0.01,50662.5,305.7,1
59,1.24724,1.06232,1,0.05,0.01,50662.5,305.85,1
59.5,1.24883,1.06232,1,0.05,0.01,50662.5,306,1
60,1.25042,1.06232,1,0.05,0.01,50662.5,306.15,1
60.5,1.25202,1.06232,1,0.05,0.01,50662.5,306.3,1
61,1.25361,1.06232,1,0.05,0.01,50662.5,306.45,1
61.5,1.2552,1.06232,1,0.05,0.01,50662.5,306.6,1
62,1.2568,1.06232,1,0.05,0.01,50662.5,306.75,1
62.5,1.25839,1.06232,1,0.05,0.01,50662.5,306.9,1
63,1.25998,1.06232,1,0.05,0.01,50662.5,307.05,1
63.5,1.26158,1.06232,1,0.05,0.01,50662.5,307.2,1
64,1.26317,1.06232,1,0.05,0.01,50662.5,307.35,1
64.5,1.26477,1.06232,1,0.05,0.01,50662.5,307.5,1
65,1.26636,1.06232,1,0.05,0.01,50662.5,307.65,1
65.5,1.26795,1.06232,1,0.05,0.01,50662.5,307.8,1
66,1.26955,1.06232,1,0.05,0.01,50662.5,307.95,1
66.5,1.27114,1.06232,1,0.05,0.01,50662.5,308.1,1
67,1.27273,1.06232,1,0.05,0.01,50662.5,308.25,1
67.5,1.27433,1.06232,1,0.05,0.01,50662.5,308.4,1
68,1.27592,1.06232,1,0.05,0.01,50662.5,308.55,1
68.5,1.27751,1.06232,1,0.05,0.01,50662.5,308.7,1
69,1.27911,1.06232,1,0.05,0.01,50662.5,308.85,1
69.5,1.2807,1.06232,1,0.05,0.01,50662.5,309,1
69.9,1.28229,1.06232,1,0.05,0.01,50662.5,309.15,1
70,1.28229,1.06232,1,0.05,0.01,50662.5,309.15,1
70.5,1.24715,1.03069,0.985,0.05,0.01,50662.5,309.3,0.985
71,1.21246,0.999539,0.97,0.05,0.01,50662.5,309.45,0.97
71.5,1.17824,0.968864,0.955,0.05,0.01,50662.5,309.6,0.955
72,1.14449,0.938668,0.94,0.05,0.01,50662.5,309.75,0.94
